playerid,dates,handle,ggr,last_12months_segment,Target_CG,bonus
1132221,7/7/2019,308,49.5,medium,Target,10
1165513,11/5/2019,308,80.15,vip,Target,50
1165513,5/17/2019,307.6,115.07,vip,Target,50
1217510,5/15/2019,307.24,67.99,high,Control Group,0
1164847,7/9/2019,307.02,13.74,high,Target,20
1255673,4/24/2019,307,159.3,medium,Target,10
1233289,10/19/2019,307,68,medium,Target,10
1372233,1/11/2020,307,-82.5,low,Target,5
1170277,5/9/2019,306.3,158.3,high,Target,20
1160970,10/23/2019,306,28.26,low,Control Group,0
1233289,10/23/2019,306,98.33,medium,Target,10
1231623,11/24/2019,305.75,33.62,low,Target,5
1164847,8/10/2019,305.68,99.97,high,Target,20
1128675,2/4/2019,305.4,13.07,low,Target,5
1268761,3/5/2019,305.1,133.1,low,Target,5
1177666,3/21/2019,305.1,100.08,medium,Control Group,0
1131432,10/21/2019,305,200.5,medium,Target,10
1310527,1/6/2020,305,-15,low,Target,5
1160970,2/21/2019,304.5,-20.25,low,Control Group,0
1281219,3/22/2019,304,50,medium,Target,10
1227846,7/26/2019,304,-50.31,low,Control Group,0
1181743,7/21/2019,304,54.9,low,Target,5
1217510,10/29/2019,304,34,high,Control Group,0
1304220,12/25/2019,304,115,medium,Control Group,0
1165513,2/1/2020,303.75,114.99,vip,Target,50
1232188,9/11/2019,303.5,30.6,vip,Target,50
1217510,10/26/2019,303.4,20.03,high,Control Group,0
1273263,2/28/2019,303.2,129.7,regnodep,Target,5
1283078,4/1/2019,303.2,50.2,medium,Target,10
1194792,6/3/2019,303.12,107.54,high,Target,20
1157739,2/6/2020,303.07,49.99,low,Target,5
1164847,7/31/2019,303.03,40.11,high,Target,20
1215456,5/10/2019,303,-49.45,low,Control Group,0
1128675,1/28/2019,302.9,15.27,low,Target,5
1241121,8/12/2019,302.88,206.43,high,Target,20
1178832,6/21/2019,302.78,-165.67,medium,Target,10
1164847,3/1/2019,302.28,78.05,high,Target,20
1160970,5/22/2019,302.05,-72.4,low,Control Group,0
1264619,2/3/2019,302,10,regnodep,Target,5
1296356,7/17/2019,302,6.2,low,Control Group,0
1165513,3/4/2019,301.95,105.54,vip,Target,50
1136220,9/12/2019,301.95,65.12,medium,Control Group,0
1391374,12/16/2019,301.75,20,medium,Target,10
1165513,2/6/2020,301.3,45.69,vip,Target,50
1131432,10/10/2019,301,94,medium,Target,10
1269553,10/19/2019,301,59.5,medium,Target,10
1218039,2/2/2019,300.6,86.54,low,Target,5
1270030,4/23/2019,300,300,high,Control Group,0
1251249,3/10/2019,300,300,medium,Target,10
1269553,1/21/2019,300,20,medium,Target,10
1281511,2/6/2020,300,-85,low,Target,5
1310527,1/12/2020,300,75,low,Target,5
1223889,10/5/2019,299.8,99.55,medium,Target,10
1217510,11/21/2019,299.68,32.73,high,Control Group,0
1283078,4/18/2019,299.65,62.19,medium,Target,10
1128604,2/20/2019,299.6,15,medium,Target,10
1183228,9/21/2019,299.6,99.9,medium,Target,10
1171041,3/12/2019,299.5,60.88,high,Target,20
1178832,8/17/2019,299.5,15.88,medium,Target,10
1302559,11/11/2019,299.5,100.55,high,Target,20
1130358,1/30/2019,299.35,57.95,low,Target,5
1131432,8/16/2019,299.2,149.84,medium,Target,10
1259556,7/5/2019,299.2,40.02,low,Control Group,0
1170785,5/3/2019,299.08,50.02,medium,Target,10
1281511,3/26/2019,299,44,low,Target,5
1231623,7/25/2019,299,5.5,low,Target,5
